contract_address,chain_id,token_id,to_address,from_address,transaction_hash,block_timestamp,block_number,amount,is_mint,token_type,log_index,purchase_price
0xf0701a661363f463c8de5bd6b009c0e9ceaba51a,1,261,0x3988e5cd9e9eafbced7e0a91db18f10307fad853,0x92aca8efb4d3707ed3463b962d8c2f50ae37fe43,0x47bcc662428ef7de9e51c2f4536285ec1ff96dbcb1b22895564442dc674fb968,1664505683000,15643236,1,FALSE,ERC721,572,0
0xf0701a661363f463c8de5bd6b009c0e9ceaba51a,1,266,0x3988e5cd9e9eafbced7e0a91db18f10307fad853,0x92aca8efb4d3707ed3463b962d8c2f50ae37fe43,0x47bcc662428ef7de9e51c2f4536285ec1ff96dbcb1b22895564442dc674fb968,1664505683000,15643236,1,FALSE,ERC721,569,0
0xf0701a661363f463c8de5bd6b009c0e9ceaba51a,1,267,0x3988e5cd9e9eafbced7e0a91db18f10307fad853,0x92aca8efb4d3707ed3463b962d8c2f50ae37fe43,0x47bcc662428ef7de9e51c2f4536285ec1ff96dbcb1b22895564442dc674fb968,1664505683000,15643236,1,FALSE,ERC721,568,0
0xf0701a661363f463c8de5bd6b009c0e9ceaba51a,1,269,0x3988e5cd9e9eafbced7e0a91db18f10307fad853,0x92aca8efb4d3707ed3463b962d8c2f50ae37fe43,0x47bcc662428ef7de9e51c2f4536285ec1ff96dbcb1b22895564442dc674fb968,1664505683000,15643236,1,FALSE,ERC721,566,0
0xf0701a661363f463c8de5bd6b009c0e9ceaba51a,1,265,0x3988e5cd9e9eafbced7e0a91db18f10307fad853,0x92aca8efb4d3707ed3463b962d8c2f50ae37fe43,0x47bcc662428ef7de9e51c2f4536285ec1ff96dbcb1b22895564442dc674fb968,1664505683000,15643236,1,FALSE,ERC721,570,0
0xf0701a661363f463c8de5bd6b009c0e9ceaba51a,1,260,0x3988e5cd9e9eafbced7e0a91db18f10307fad853,0x92aca8efb4d3707ed3463b962d8c2f50ae37fe43,0x47bcc662428ef7de9e51c2f4536285ec1ff96dbcb1b22895564442dc674fb968,1664505683000,15643236,1,FALSE,ERC721,571,0
0xf0701a661363f463c8de5bd6b009c0e9ceaba51a,1,264,0x3988e5cd9e9eafbced7e0a91db18f10307fad853,0x92aca8efb4d3707ed3463b962d8c2f50ae37fe43,0x47bcc662428ef7de9e51c2f4536285ec1ff96dbcb1b22895564442dc674fb968,1664505683000,15643236,1,FALSE,ERC721,575,0
0xf0701a661363f463c8de5bd6b009c0e9ceaba51a,1,268,0x3988e5cd9e9eafbced7e0a91db18f10307fad853,0x92aca8efb4d3707ed3463b962d8c2f50ae37fe43,0x47bcc662428ef7de9e51c2f4536285ec1ff96dbcb1b22895564442dc674fb968,1664505683000,15643236,1,FALSE,ERC721,567,0
0xf0701a661363f463c8de5bd6b009c0e9ceaba51a,1,263,0x3988e5cd9e9eafbced7e0a91db18f10307fad853,0x92aca8efb4d3707ed3463b962d8c2f50ae37fe43,0x47bcc662428ef7de9e51c2f4536285ec1ff96dbcb1b22895564442dc674fb968,1664505683000,15643236,1,FALSE,ERC721,574,0
0xf0701a661363f463c8de5bd6b009c0e9ceaba51a,1,262,0x3988e5cd9e9eafbced7e0a91db18f10307fad853,0x92aca8efb4d3707ed3463b962d8c2f50ae37fe43,0x47bcc662428ef7de9e51c2f4536285ec1ff96dbcb1b22895564442dc674fb968,1664505683000,15643236,1,FALSE,ERC721,573,0
0xf0701a661363f463c8de5bd6b009c0e9ceaba51a,1,329,0x5b93ff82faaf241c15997ea3975419dddd8362c5,0x46301f7e700be9cffce3e5e142a2244df3f2d4f2,0x3eb19bb7fd2462b9c5d5b3a17ac2b697e1f77f91d1105ec18c1a98a4acd19eab,1664940071000,15679188,1,FALSE,ERC721,284,0
0xf0701a661363f463c8de5bd6b009c0e9ceaba51a,1,56,0x5b93ff82faaf241c15997ea3975419dddd8362c5,0x46301f7e700be9cffce3e5e142a2244df3f2d4f2,0x3eb19bb7fd2462b9c5d5b3a17ac2b697e1f77f91d1105ec18c1a98a4acd19eab,1664940071000,15679188,1,FALSE,ERC721,287,0
0xf0701a661363f463c8de5bd6b009c0e9ceaba51a,1,59,0x5b93ff82faaf241c15997ea3975419dddd8362c5,0x46301f7e700be9cffce3e5e142a2244df3f2d4f2,0x3eb19bb7fd2462b9c5d5b3a17ac2b697e1f77f91d1105ec18c1a98a4acd19eab,1664940071000,15679188,1,FALSE,ERC721,283,0
0xf0701a661363f463c8de5bd6b009c0e9ceaba51a,1,60,0x5b93ff82faaf241c15997ea3975419dddd8362c5,0x46301f7e700be9cffce3e5e142a2244df3f2d4f2,0x3eb19bb7fd2462b9c5d5b3a17ac2b697e1f77f91d1105ec18c1a98a4acd19eab,1664940071000,15679188,1,FALSE,ERC721,285,0
0xf0701a661363f463c8de5bd6b009c0e9ceaba51a,1,57,0x5b93ff82faaf241c15997ea3975419dddd8362c5,0x46301f7e700be9cffce3e5e142a2244df3f2d4f2,0x3eb19bb7fd2462b9c5d5b3a17ac2b697e1f77f91d1105ec18c1a98a4acd19eab,1664940071000,15679188,1,FALSE,ERC721,286,0
0xf0701a661363f463c8de5bd6b009c0e9ceaba51a,1,62,0x0773e6cea738cba25c8d563ed7422a6337bc571e,0x0335464fb52792d7301961e491a4f92b3023039e,0x2a0c6e978e05d55f68e3c4a7d3f0bcbe72967d236eb0db17e88cab3d22312871,1664315087000,15627445,1,FALSE,ERC721,287,0
0xf0701a661363f463c8de5bd6b009c0e9ceaba51a,1,319,0x33fc2be5563e3c02a3e127f01bbd71db472aa613,0xfcbaacad53def4df17fd8eb1e1b10291ca09b85e,0x246fd303a5cb55224429be07228d978a2e4d5b036cf66a5ebab411ed818aaefb,1665183119000,15699306,1,FALSE,ERC721,349,0.15
0xf0701a661363f463c8de5bd6b009c0e9ceaba51a,1,203,0x0d807d0ca70448078220efa878d43f61bce3a5c3,0x0d801699678375e43d14f67453e24f17ebbaef8a,0x128a83e4f1a1093633982d28ff588519f5c59af86b41667d96a9f808ca6962cc,1667734727000,15910730,1,FALSE,ERC721,147,0
0xf0701a661363f463c8de5bd6b009c0e9ceaba51a,1,85,0x9266f125fb2ecb730d9953b46de9c32e2fa83e4a,0x89afa2763a6cdd0c26ae65ef60455781312b56f8,0xc0e8bfa073b0977241e6298303bc2cb6ed3ec9ab78961d169102eb403e476567,1682167955000,17102002,1,FALSE,ERC721,207,0.233964696
0xf0701a661363f463c8de5bd6b009c0e9ceaba51a,1,52,0x5fd825c8afa592859e842ed73fb9d0177ad27643,0xa49958fa14309f3720159c83cd92c5f38b1e3306,0x4b12ee87840483d666c0f1a894bde559fc830d31e7f783148b550559bd99b5ea,1682825543000,17156213,1,FALSE,ERC721,412,0.5997724399
0xf0701a661363f463c8de5bd6b009c0e9ceaba51a,1,52,0x4ab415515235e9c631aa2b4ec06d24b7b1a0120e,0x5fd825c8afa592859e842ed73fb9d0177ad27643,0x5d153bbf8d60017a5751609f3a5b8011321f5a1aba5205c67469325349a748a1,1682825747000,17156229,1,FALSE,ERC721,163,0
0xf0701a661363f463c8de5bd6b009c0e9ceaba51a,1,316,0xb9f5039273a63275d2f15e3c970bdbfcf47d0a5f,0xccc1d69c6a0ef4031fcd839f9135e8e466fe6555,0xc3df3e7927b9d9cbff03419f6f447f42d19136b6d5afed6d1ecce4fa4700849d,1671749051000,16243312,1,FALSE,ERC721,189,0.5
0xf0701a661363f463c8de5bd6b009c0e9ceaba51a,1,66,0x8f1c5979c2bfd0966455cf5ba34bb71140be9138,0xb0ba39b6bfeec3d1a40cfbefcad108e50b693560,0x740d3b35ac4a8c8b287d0270a32252839b273a53b8b0a89d5c791aa3ee84ab3c,1683948707000,17248415,1,FALSE,ERC721,316,0.019
0xf0701a661363f463c8de5bd6b009c0e9ceaba51a,1,56,0x9266f125fb2ecb730d9953b46de9c32e2fa83e4a,0x5b93ff82faaf241c15997ea3975419dddd8362c5,0x151f097636ccc37647cc8cf1a6bbc41bc901c780b7e1a3f0d36d1c4c715620bc,1684917287000,17327896,1,FALSE,ERC721,221,0
0xf0701a661363f463c8de5bd6b009c0e9ceaba51a,1,43,0x9266f125fb2ecb730d9953b46de9c32e2fa83e4a,0x5b93ff82faaf241c15997ea3975419dddd8362c5,0x151f097636ccc37647cc8cf1a6bbc41bc901c780b7e1a3f0d36d1c4c715620bc,1684917287000,17327896,1,FALSE,ERC721,220,0
0xf0701a661363f463c8de5bd6b009c0e9ceaba51a,1,224,0x9266f125fb2ecb730d9953b46de9c32e2fa83e4a,0x5b93ff82faaf241c15997ea3975419dddd8362c5,0x151f097636ccc37647cc8cf1a6bbc41bc901c780b7e1a3f0d36d1c4c715620bc,1684917287000,17327896,1,FALSE,ERC721,219,0
0xf0701a661363f463c8de5bd6b009c0e9ceaba51a,1,44,0x9266f125fb2ecb730d9953b46de9c32e2fa83e4a,0x5b93ff82faaf241c15997ea3975419dddd8362c5,0x151f097636ccc37647cc8cf1a6bbc41bc901c780b7e1a3f0d36d1c4c715620bc,1684917287000,17327896,1,FALSE,ERC721,218,0
0xf0701a661363f463c8de5bd6b009c0e9ceaba51a,1,251,0x9266f125fb2ecb730d9953b46de9c32e2fa83e4a,0x5b93ff82faaf241c15997ea3975419dddd8362c5,0x151f097636ccc37647cc8cf1a6bbc41bc901c780b7e1a3f0d36d1c4c715620bc,1684917287000,17327896,1,FALSE,ERC721,217,0
0xf0701a661363f463c8de5bd6b009c0e9ceaba51a,1,59,0x9266f125fb2ecb730d9953b46de9c32e2fa83e4a,0x5b93ff82faaf241c15997ea3975419dddd8362c5,0x151f097636ccc37647cc8cf1a6bbc41bc901c780b7e1a3f0d36d1c4c715620bc,1684917287000,17327896,1,FALSE,ERC721,216,0
0xf0701a661363f463c8de5bd6b009c0e9ceaba51a,1,88,0x9266f125fb2ecb730d9953b46de9c32e2fa83e4a,0x5b93ff82faaf241c15997ea3975419dddd8362c5,0x151f097636ccc37647cc8cf1a6bbc41bc901c780b7e1a3f0d36d1c4c715620bc,1684917287000,17327896,1,FALSE,ERC721,215,0
0xf0701a661363f463c8de5bd6b009c0e9ceaba51a,1,312,0x9266f125fb2ecb730d9953b46de9c32e2fa83e4a,0x5b93ff82faaf241c15997ea3975419dddd8362c5,0x151f097636ccc37647cc8cf1a6bbc41bc901c780b7e1a3f0d36d1c4c715620bc,1684917287000,17327896,1,FALSE,ERC721,214,0
0xf0701a661363f463c8de5bd6b009c0e9ceaba51a,1,45,0x9266f125fb2ecb730d9953b46de9c32e2fa83e4a,0x5b93ff82faaf241c15997ea3975419dddd8362c5,0x151f097636ccc37647cc8cf1a6bbc41bc901c780b7e1a3f0d36d1c4c715620bc,1684917287000,17327896,1,FALSE,ERC721,213,0
0xf0701a661363f463c8de5bd6b009c0e9ceaba51a,1,113,0x9266f125fb2ecb730d9953b46de9c32e2fa83e4a,0x5b93ff82faaf241c15997ea3975419dddd8362c5,0x151f097636ccc37647cc8cf1a6bbc41bc901c780b7e1a3f0d36d1c4c715620bc,1684917287000,17327896,1,FALSE,ERC721,212,0
0xf0701a661363f463c8de5bd6b009c0e9ceaba51a,1,226,0x9266f125fb2ecb730d9953b46de9c32e2fa83e4a,0x5b93ff82faaf241c15997ea3975419dddd8362c5,0x151f097636ccc37647cc8cf1a6bbc41bc901c780b7e1a3f0d36d1c4c715620bc,1684917287000,17327896,1,FALSE,ERC721,211,0
0xf0701a661363f463c8de5bd6b009c0e9ceaba51a,1,3,0x9266f125fb2ecb730d9953b46de9c32e2fa83e4a,0x5b93ff82faaf241c15997ea3975419dddd8362c5,0x151f097636ccc37647cc8cf1a6bbc41bc901c780b7e1a3f0d36d1c4c715620bc,1684917287000,17327896,1,FALSE,ERC721,210,0
0xf0701a661363f463c8de5bd6b009c0e9ceaba51a,1,42,0x9266f125fb2ecb730d9953b46de9c32e2fa83e4a,0x5b93ff82faaf241c15997ea3975419dddd8362c5,0x151f097636ccc37647cc8cf1a6bbc41bc901c780b7e1a3f0d36d1c4c715620bc,1684917287000,17327896,1,FALSE,ERC721,209,0
0xf0701a661363f463c8de5bd6b009c0e9ceaba51a,1,60,0x9266f125fb2ecb730d9953b46de9c32e2fa83e4a,0x5b93ff82faaf241c15997ea3975419dddd8362c5,0x151f097636ccc37647cc8cf1a6bbc41bc901c780b7e1a3f0d36d1c4c715620bc,1684917287000,17327896,1,FALSE,ERC721,208,0
0xf0701a661363f463c8de5bd6b009c0e9ceaba51a,1,57,0x9266f125fb2ecb730d9953b46de9c32e2fa83e4a,0x5b93ff82faaf241c15997ea3975419dddd8362c5,0x151f097636ccc37647cc8cf1a6bbc41bc901c780b7e1a3f0d36d1c4c715620bc,1684917287000,17327896,1,FALSE,ERC721,207,0
0xf0701a661363f463c8de5bd6b009c0e9ceaba51a,1,329,0x9266f125fb2ecb730d9953b46de9c32e2fa83e4a,0x5b93ff82faaf241c15997ea3975419dddd8362c5,0x151f097636ccc37647cc8cf1a6bbc41bc901c780b7e1a3f0d36d1c4c715620bc,1684917287000,17327896,1,FALSE,ERC721,206,0
0xf0701a661363f463c8de5bd6b009c0e9ceaba51a,1,199,0x63a65fc3a6e3714e2a210b7fe17a9d743426da22,0x059248de52d8ad545462059367df7a3f91b40607,0x156591470a78bbdb880abf219675a56cb718e2aa54a7a24e3072be8e86261158,1685917283000,17410161,1,FALSE,ERC721,1340,0.15
0xf0701a661363f463c8de5bd6b009c0e9ceaba51a,1,134,0x070e21db655405a681088bfcfce96fcca76965e6,0xcb42ac441fcade3935243ea118701f39aa004486,0xf3df829c7fe328f3319f996ec2c52e194dd0d6efafa98d85f107da4ffa25fdda,1670335547000,16126238,1,FALSE,ERC721,156,1.42
